,Station Name,Station Latitude,Station Longitude,Business Category,Business Name,Rating,Number of Reviews,Address,Contact,Available Bikes,Empty Slots,Number of Bikes
0,Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,Brasseries,Le Saint-Bock,4.0,208,1749 Rue Saint-Denis,+1 514-680-8052,5,10,15
1,Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,Tapas Bars,L'Amère à Boire,4.0,68,2049 Rue Saint-Denis,+1 514-282-7448,5,10,15
2,Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,Pizza,Pizzeria Dei Compari,4.0,91,1668 Rue Saint-Denis,+1 514-843-6411,5,10,15
3,Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,Modern European,Bouillon Bilk,4.5,503,1595 Boulevard Saint-Laurent,+1 514-845-1595,5,10,15
4,Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,Speakeasies,Le 4e Mur,4.5,99,2021 Rue Saint-Denis,+1 438-396-8947,5,10,15
5,Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,Poutineries,Poutineville,4.5,602,1365 Rue Ontario E,+1 514-419-5444,5,10,15
6,Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,French,Les Deux Gamins,4.0,598,170 Rue Prince Arthur E,+1 514-288-3389,5,10,15
7,Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,Pubs,Randolph Pub Ludique,4.5,96,2041 Rue Saint-Denis,+1 514-419-5001,5,10,15
8,Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,Cocktail Bars,La Distillerie No.1,4.5,315,300 Rue Ontario E,+1 514-448-2461,5,10,15
9,Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,Brasseries,Le Cheval Blanc,4.0,53,809 Rue Ontario E,+1 514-522-0211,5,10,15
10,Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,Canadian (New),Au Pied de Cochon,4.0,1395,536 Avenue Duluth E,+1 514-281-1114,5,10,15
11,Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,Canadian (New),Le Mousso,4.5,55,1023 Rue Ontario E,+1 438-384-7410,5,10,15
12,Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,Vegetarian,Resto Végo,4.0,84,1720 Rue Saint-Denis,+1 514-845-2627,5,10,15
13,Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,French,L'Express,4.0,681,3927 Rue Saint-Denis,+1 514-845-5333,5,10,15
14,Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,Vietnamese,Vua,4.0,109,1579 Rue Saint-Denis,+1 514-439-1231,5,10,15
15,Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,Pubs,Les 3 Brasseurs,3.5,101,1658 St-Denis,+1 514-845-1660,5,10,15
16,Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,Lounges,Pub l'Île Noire,4.0,60,1649 Rue Saint-Denis,+1 514-982-0866,5,10,15
17,Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,French,O'Thym,4.5,169,1112 Boulevard de Maisonneuve E,+1 514-525-3443,5,10,15
18,Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,Desserts,Juliette & Chocolat,4.0,229,1615 Rue Saint-Denis,+1 514-287-3555,5,10,15
19,Gare d'autocars de Montréal (Berri / Ontario),45.516926210319546,-73.56425732374191,Sushi Bars,Saint Sushi Plateau,4.5,369,424 Avenue Duluth E,+1 514-507-7537,5,10,15
20,Marché Maisonneuve,45.55321884238814,-73.53978216648102,Canadian (New),Hélicoptère,4.5,52,4255 Rue Ontario E,+1 514-543-4255,7,15,22
21,Marché Maisonneuve,45.55321884238814,-73.53978216648102,French,Bagatelle,4.0,54,4323 Rue Ontario E,+1 514-254-3838,7,15,22
22,Marché Maisonneuve,45.55321884238814,-73.53978216648102,Coffee & Tea,Canard Café,4.0,77,4299 Ontario Street East,+1 514-419-7997,7,15,22
23,Marché Maisonneuve,45.55321884238814,-73.53978216648102,Poutineries,Poutine Centrale,4.5,159,3971 Rue Hochelaga,+1 514-507-9494,7,15,22
24,Marché Maisonneuve,45.55321884238814,-73.53978216648102,Cafes,Hélico,4.5,11,2009 Avenue de la Salle,+1 514-543-3543,7,15,22
25,Marché Maisonneuve,45.55321884238814,-73.53978216648102,Canadian (New),État-Major,4.0,42,4005 Rue Ontario E,+1 514-905-8288,7,15,22
26,Marché Maisonneuve,45.55321884238814,-73.53978216648102,Bistros,Le Valois,4.0,64,25 Place Simon Valois,+1 514-528-0202,7,15,22
27,Marché Maisonneuve,45.55321884238814,-73.53978216648102,Bakeries,Les Gourmandises de Marie-Antoinette,4.5,11,4317 Rue Ontario E,+1 514-257-0333,7,15,22
28,Marché Maisonneuve,45.55321884238814,-73.53978216648102,Moroccan,L'Olive Noire,4.0,16,4271 Rue Ontario Est,+1 514-504-9484,7,15,22
29,Marché Maisonneuve,45.55321884238814,-73.53978216648102,Pizza,Heirloom,4.0,35,3991 Rue Ontario E,+1 514-905-8211,7,15,22
30,Marché Maisonneuve,45.55321884238814,-73.53978216648102,Irish Pub,Le Trèfle,4.0,35,3971 Rue Ontario E,+1 438-386-3737,7,15,22
31,Marché Maisonneuve,45.55321884238814,-73.53978216648102,Bakeries,Arhoma,4.5,60,15 Place Simon-Valois,+1 514-526-4662,7,15,22
32,Marché Maisonneuve,45.55321884238814,-73.53978216648102,Greek,Pita Bar,3.5,3,4315 Rue Ontario E,+1 514-303-0233,7,15,22
33,Marché Maisonneuve,45.55321884238814,-73.53978216648102,Aquariums,Biodôme de Montréal,4.0,250,4777 Avenue Pierre de Coubertin,+1 514-868-3000,7,15,22
34,Marché Maisonneuve,45.55321884238814,-73.53978216648102,Bakeries,Première Moisson,4.0,5,4445 Rue Ontario E,+1 514-259-5929,7,15,22
35,Marché Maisonneuve,45.55321884238814,-73.53978216648102,French,Les Canailles,3.5,35,3854 Rue Ontario E,+1 514-526-8186,7,15,22
36,Marché Maisonneuve,45.55321884238814,-73.53978216648102,Delis,Gerry's Delicatessen,3.5,24,3982 Rue Ontario E,+1 514-254-1691,7,15,22
37,Marché Maisonneuve,45.55321884238814,-73.53978216648102,Ice Cream & Frozen Yogurt,Hoche Glacé,4.5,20,2225 Avenue Bennett,+1 514-303-6040,7,15,22
38,Marché Maisonneuve,45.55321884238814,-73.53978216648102,French,Cabotins,4.0,15,4821 Rue Sainte-Catherine E,+1 514-251-8817,7,15,22
39,Marché Maisonneuve,45.55321884238814,-73.53978216648102,Landmarks & Historical Buildings,La Tour de Montréal,4.0,43,Rue Viau  3200,+1 514-252-4737,7,15,22
40,Rachel / de Brébeuf,45.52689,-73.57264,Poutineries,La Banquise,4.0,2201,994 Rue Rachel E,+1 514-525-2415,24,5,29
41,Rachel / de Brébeuf,45.52689,-73.57264,Portuguese,Ma Poule Mouillée,4.5,599,969 Rue Rachel E,+1 514-522-5175,24,5,29
42,Rachel / de Brébeuf,45.52689,-73.57264,Canadian (New),Au Pied de Cochon,4.0,1395,536 Avenue Duluth E,+1 514-281-1114,24,5,29
43,Rachel / de Brébeuf,45.52689,-73.57264,Breakfast & Brunch,L'Avenue,4.5,1270,922 Avenue du Mont-Royal E,+1 514-523-8780,24,5,29
44,Rachel / de Brébeuf,45.52689,-73.57264,Poutineries,Poutineville,4.5,602,1365 Rue Ontario E,+1 514-419-5444,24,5,29
45,Rachel / de Brébeuf,45.52689,-73.57264,French,L'Express,4.0,681,3927 Rue Saint-Denis,+1 514-845-5333,24,5,29
46,Rachel / de Brébeuf,45.52689,-73.57264,Japanese,Ichigo Ichie,4.5,117,360 Rue Rachel E,+1 514-282-0009,24,5,29
47,Rachel / de Brébeuf,45.52689,-73.57264,Afghan,Fenêtre sur Kaboul,4.5,59,901 Rue Rachel E,+1 514-522-6851,24,5,29
48,Rachel / de Brébeuf,45.52689,-73.57264,Sushi Bars,Saint Sushi Plateau,4.5,369,424 Avenue Duluth E,+1 514-507-7537,24,5,29
49,Rachel / de Brébeuf,45.52689,-73.57264,Tapas Bars,Barranco MTL,4.5,63,4552 Rue Saint-Denis,+1 514-282-9000,24,5,29
50,Rachel / de Brébeuf,45.52689,-73.57264,Ramen,Yokato Yokabai,4.0,479,4185 Rue Drolet,+1 514-282-9991,24,5,29
51,Rachel / de Brébeuf,45.52689,-73.57264,African,Le Virunga,4.5,39,851 Rue Rachel E,+1 514-504-8642,24,5,29
52,Rachel / de Brébeuf,45.52689,-73.57264,French,Chez Victoire,4.0,66,1453 Avenue Mont-Royal E,+1 514-521-6789,24,5,29
53,Rachel / de Brébeuf,45.52689,-73.57264,Wine Bars,Le Rouge Gorge,4.5,33,1234 Mont-royal E,+1 514-303-3822,24,5,29
54,Rachel / de Brébeuf,45.52689,-73.57264,Indian,India Rosa,4.0,106,1241 Avenue du Mont-Royal E,+1 514-543-1880,24,5,29
55,Rachel / de Brébeuf,45.52689,-73.57264,Canadian (New),Le Mousso,4.5,55,1023 Rue Ontario E,+1 438-384-7410,24,5,29
56,Rachel / de Brébeuf,45.52689,-73.57264,Seafood,Joséphine,4.5,32,4007 Rue Saint-Denis,+1 514-840-5015,24,5,29
57,Rachel / de Brébeuf,45.52689,-73.57264,Canadian (New),Le Colonel Moutarde,4.5,26,4418 Rue Saint-Denis,+1 438-385-4418,24,5,29
58,Rachel / de Brébeuf,45.52689,-73.57264,Burgers,Patati Patata,4.0,355,4177 Boulevard Saint-Laurent,+1 514-844-0216,24,5,29
59,Rachel / de Brébeuf,45.52689,-73.57264,French,Bistro Tôt ou Tard,4.0,87,1030 Rue Cherrier,+1 514-564-7357,24,5,29
60,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,French,Le St-Urbain,4.0,29,96 Rue Fleury O,+1 514-504-7700,8,6,14
61,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,French,Le Petit Flore,4.0,10,1145 Rue Fleury E,+1 514-387-2640,8,6,14
62,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,French,Les Cavistes,4.0,13,196 Rue Fleury O,+1 514-508-5033,8,6,14
63,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,Vietnamese,Sama Fusion,4.0,8,945 Rue Fleury E,+1 514-388-8989,8,6,14
64,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,Sushi Bars,Restaurant Les Brides,4.0,3,10420 Lajeunesse Street,+1 514-383-8596,8,6,14
65,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,French,Le Millen,4.0,10,1185 Rue Fleury Est,+1 514-903-0636,8,6,14
66,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,Bars,Bar Vintage 132,4.5,8,132 Rue Fleury O,+1 514-419-1404,8,6,14
67,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,Pizza,Toujours Mikes,3.5,2,10490 Rue Lajeunesse,+1 514-385-0123,8,6,14
68,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,Barbeque,StHubert,2.5,6,10520 Rue Lajeunesse,+1 514-385-5555,8,6,14
69,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,Fast Food,McDonald's,2.5,6,10400 Rue Lajeunesse,+1 514-384-0151,8,6,14
70,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,Bars,Über Cafbar,4.5,6,1011 Rue Fleury E,+1 514-383-9009,8,6,14
71,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,Bakeries,La Bête à Pain,3.5,19,114 Rue Fleury O,+1 514-507-7109,8,6,14
72,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,Italian,Brama Usine à Bouffe,4.5,5,9850 Rue Saint-Urbain,+1 514-419-1660,8,6,14
73,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,Pizza,Martini Pizzeria,4.0,13,9481 Lajeunesse Rue,+1 514-388-9672,8,6,14
74,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,French,Les Faims Finauds,4.5,6,9443 Rue Lajeunesse,+1 514-903-3293,8,6,14
75,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,Seafood,Madre,4.0,7,124 Rue Fleury Ouest,+1 514-439-1966,8,6,14
76,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,Latin American,Restaurant Madre,3.5,11,124 Rue Fleury O,+1 514-315-7932,8,6,14
77,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),45.5534000891078,-73.66225451231003,Italian,La Molisana,2.5,13,1014 Rue Fleury E,+1 514-382-7100,8,6,14
