,Station Name,Available Bikes,Empty Slots,Latitude,Longitude
0,Gare d'autocars de Montréal (Berri / Ontario),5,10,45.516926210319546,-73.56425732374191
1,Marché Maisonneuve,7,15,45.55321884238814,-73.53978216648102
2,Rachel / de Brébeuf,24,5,45.52689,-73.57264
3,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),8,6,45.5534000891078,-73.66225451231003
4,Cité des Arts du Cirque (Paul Boutet / des Regrattiers),22,12,45.55984236120471,-73.61544728279114
5,Omer-Lavallée / du Midway,7,10,45.5457759528664,-73.56217458844185
6,Papineau / Émile-Journault,24,10,45.55988367688166,-73.63356828689575
7,CHSLD St-Michel (8e avenue / Jarry),6,9,45.5616903,-73.610512
8,Chabanel / du Parc,15,15,45.53830765459552,-73.6548838019371
9,Métro Henri-Bourassa (Henri-Bourassa / Millen),13,3,45.55675103297278,-73.66716161370277
10,Calixa-Lavallée / Rachel,26,4,45.527831544563064,-73.5719096660614
11,Marché Jean-Talon (Casgrain / Shamrock),19,6,45.53519006163501,-73.61548215150833
12,Fabrik8 (Waverly / Jean-Talon),11,10,45.53330725719417,-73.62082242965698
13,Parc Jeanne-Mance (du Mont-Royal / du Parc),27,6,45.51689731423111,-73.58910799026489
14,St-Hubert / de Maisonneuve (sud),8,10,45.51586835126322,-73.56008380651474
15,CHSLD Joseph-François-Perrault (St-Michel / Everett),10,7,45.55969734528566,-73.60145956277847
16,Parc Nicolas-Tillemont (des Érables / Villeray),9,9,45.55463653358596,-73.61255215771962
17,Collège de Rosemont (Beaubien / 15e avenue),20,6,45.55774990838239,-73.58380123972893
18,Préfontaine / Marcel-Pépin,12,7,45.54365380040509,-73.55942063033581
19,de Chambly / de Rouen,7,4,45.54710313981358,-73.54892447590828
20,BAnQ (Berri),11,4,45.51601387670667,-73.56291957199574
21,de Gaspé / Marmier,9,10,45.529668174024685,-73.60166944563389
22,La Tour de Montréal (Pierre-de-Coubertin / Bennett),5,20,45.55970526805903,-73.55155438184738
23,Messier / St-Joseph,14,1,45.53946063965585,-73.57605636119843
24,Square Viger (Berri / Viger),7,22,45.5121682576952,-73.55481594800949
25,Dorion / Ontario,28,5,45.526991277453526,-73.55821162462234
26,René-Lévesque / Papineau,12,26,45.52097057660443,-73.5499919950962
27,Square Victoria (Viger / du Square-Victoria),6,13,45.50206,-73.56295
28,Métro Peel (de Maisonneuve / Stanley),15,34,45.50038,-73.57507
29,Métro Place-d'Armes (Viger / St-Urbain),8,21,45.50631445605528,-73.55967122894072
30,Jeanne-Mance / Sherbrooke,21,3,45.50928678961862,-73.57101917266846
31,Métro Laurier (Berri / St-Joseph),10,8,45.52723106564012,-73.58672618865965
32,Métro Frontenac (Ontario / du Havre),9,14,45.533705987798946,-73.55217933654784
33,du Mont-Royal / Clark,21,13,45.51941,-73.58685
34,Place du Canada (Peel / des Canadiens-de-Montréal),7,19,45.49788352593901,-73.56856763362885
35,Gary-Carter / St-Laurent,26,10,45.53613488953656,-73.62258464097977
36,Métro Parc  (Hutchison / Ogilvy),22,11,45.53035130173597,-73.6243924498558
37,René-Lévesque / Panet,5,14,45.51862424058306,-73.55219006538391
