,Station Name,Station Latitude,Station Longitude,Business Category,Business Name,Rating,Number of Reviews,Address,Contact,Available Bikes,Empty Slots,Number of Bikes
0,SE 47th at Hawthorne,45.51195046,-122.6141596,Mexican,Por Qué No? Taqueria,4.0,1365,4635 SE Hawthorne Blvd,(503) 954-3138,1,2,3
1,SE 47th at Hawthorne,45.51195046,-122.6141596,Pizza,Apizza Scholls,4.0,1753,4741 SE Hawthorne Blvd,(503) 233-1286,1,2,3
2,SE 47th at Hawthorne,45.51195046,-122.6141596,Lounges,Sapphire Hotel,4.5,492,5008 SE Hawthorne Blvd,(503) 232-6333,1,2,3
3,SE 47th at Hawthorne,45.51195046,-122.6141596,Noodles,Baka Umai,4.5,178,4703 SE Hawthorne Blvd,(971) 255-0116,1,2,3
4,SE 47th at Hawthorne,45.51195046,-122.6141596,Thai,Khao Thai,4.5,73,4604 SE Hawthorne Blvd,(971) 346-2422,1,2,3
5,SE 47th at Hawthorne,45.51195046,-122.6141596,Korean,Toji Korean Grill House,3.5,289,4615 SE Hawthorne Blvd,(503) 232-8998,1,2,3
6,SE 47th at Hawthorne,45.51195046,-122.6141596,Bars,Mighty Moe's Tanker,4.5,13,4825 SE Hawthorne Blvd,(971) 302-7249,1,2,3
7,SE 47th at Hawthorne,45.51195046,-122.6141596,Delis,East Side Delicatessen,4.0,408,4626 SE Hawthorne Blvd,(503) 236-7313,1,2,3
8,SE 47th at Hawthorne,45.51195046,-122.6141596,Lounges,Space Room Lounge,3.5,224,4800 SE Hawthorne Blvd,(503) 235-6957,1,2,3
9,SE 47th at Hawthorne,45.51195046,-122.6141596,Italian,3 Doors Down Cafe & Lounge,4.5,415,1429 SE 37th Ave,(503) 236-6886,1,2,3
10,SE 47th at Hawthorne,45.51195046,-122.6141596,Vegetarian,The Whole Bowl,4.5,285,4526 SE Hawthorne,(503) 753-7071,1,2,3
11,SE 47th at Hawthorne,45.51195046,-122.6141596,Greek,Kouzina,4.0,50,4612 SE Hawthorne Blvd,(503) 894-8389,1,2,3
12,SE 47th at Hawthorne,45.51195046,-122.6141596,Fast Food,Zach's Shack,3.5,279,4611 SE Hawthorne Blvd,(503) 233-4616,1,2,3
13,SE 47th at Hawthorne,45.51195046,-122.6141596,British,Horse Brass Pub,4.0,733,4534 SE Belmont St,(503) 232-2202,1,2,3
14,SE 47th at Hawthorne,45.51195046,-122.6141596,Coffee & Tea,Common Grounds Coffeehouse,4.0,171,4321 SE Hawthorne Blvd,(503) 341-9528,1,2,3
15,SE 47th at Hawthorne,45.51195046,-122.6141596,Arcades,QuarterWorld Arcade,4.0,150,4811 SE Hawthorne Blvd,(503) 548-2923,1,2,3
16,SE 47th at Hawthorne,45.51195046,-122.6141596,Whiskey Bars,The Cavern,4.5,46,4601 SE Hawthorne Blvd,(503) 889-0943,1,2,3
17,SE 47th at Hawthorne,45.51195046,-122.6141596,Burgers,Next Level Burger,4.0,412,4121 SE Hawthorne Blvd,(503) 486-4400,1,2,3
18,SE 47th at Hawthorne,45.51195046,-122.6141596,Indian,Dwaraka Indian Cuisine,4.0,564,3962 SE Hawthorne Blvd,(503) 230-1120,1,2,3
19,SE 47th at Hawthorne,45.51195046,-122.6141596,Breakfast & Brunch,The Waffle Window,4.5,1878,3610 SE Hawthorne Blvd,(971) 255-0501,1,2,3
20,NE 50th at Fremont,45.54827571,-122.6111636,Coffee & Tea,Pip's Original Doughnuts & Chai,4.5,3073,4759 NE Fremont St,(503) 206-8692,0,6,6
21,NE 50th at Fremont,45.54827571,-122.6111636,Hawaiian,Noho's Hawaiian Cafe,4.0,384,4627 NE Fremont St,(503) 445-6646,0,6,6
22,NE 50th at Fremont,45.54827571,-122.6111636,Bars,Hi-Top Tavern,4.5,61,5015 NE Fremont St,(503) 206-4308,0,6,6
23,NE 50th at Fremont,45.54827571,-122.6111636,Thai,Bang Bang,4.0,260,4727 NE Fremont,(503) 287-3846,0,6,6
24,NE 50th at Fremont,45.54827571,-122.6111636,Pizza,Red Sauce Pizza,4.5,277,4641 NE Fremont St,(503) 288-4899,0,6,6
25,NE 50th at Fremont,45.54827571,-122.6111636,Vegan,Dirty Lettuce,5.0,124,4727 NE Fremont St,(971) 888-4158,0,6,6
26,NE 50th at Fremont,45.54827571,-122.6111636,Pizza,Pizza Nostra,4.0,159,4831 NE Fremont St,(503) 281-9592,0,6,6
27,NE 50th at Fremont,45.54827571,-122.6111636,New American,Arrowood,4.5,108,5846 NE Sandy Blvd,(971) 373-8049,0,6,6
28,NE 50th at Fremont,45.54827571,-122.6111636,Seafood,Cabezon,4.0,534,5200 NE Sacramento St,(503) 284-6617,0,6,6
29,NE 50th at Fremont,45.54827571,-122.6111636,Himalayan/Nepalese,Nepali Kitchen,4.5,48,3434 NE 49th,(503) 477-6683,0,6,6
30,NE 50th at Fremont,45.54827571,-122.6111636,Beer Gardens,Cully Central,4.5,212,4579 NE Cully Blvd,(503) 206-8911,0,6,6
31,NE 50th at Fremont,45.54827571,-122.6111636,Italian,Amalfi's Restaurant & Mercato,3.5,425,4703 NE Fremont St,(503) 284-6747,0,6,6
