,Station Name,Available Bikes,Empty Slots,Latitude,Longitude
0,SE 47th at Hawthorne,1,2,45.51195046,-122.6141596
1,NE 50th at Fremont,0,6,45.54827571,-122.6111636
2,NE Cully at Skidmore,2,3,45.553917,-122.6020709
3,SE Belmont at 45th,1,2,45.51658489,-122.6160378
4,SE 37th at Gladstone,1,2,45.49333654,-122.6233971
5,SE Gideon at 12th Ave MAX station,11,0,45.50280906,-122.6535398
6,SW 10th at Harvey Milk,2,14,45.52175423,-122.6810794
7,SE Elliott at Division,11,6,45.50512504,-122.6533681
8,SE Clinton at 26th,1,5,45.50356665,-122.6395279
9,SE 29th at Belmont,9,5,45.51623176,-122.6360679
10,SE Clay at Water,10,6,45.51147657,-122.6662856
11,SE 14th at Stark,1,17,45.51844688,-122.651685
12,SE Water at Taylor,7,3,45.51515295,-122.665776
13,SE Belmont at 42nd,1,10,45.51645917,-122.6189983
14,NE 28th at Couch,0,4,45.52373453,-122.6372065
15,NW 2nd at Everett,9,4,45.52536699,-122.6725459
16,NW 22nd at Lovejoy,6,3,45.52976024,-122.6966429
17,NW 11th at The Fields,7,11,45.53232501,-122.6824299
18,SW Morrison at 18th,8,9,45.52196048,-122.6896772
19,SE 9th at Madison,7,0,45.51299715,-122.6567262
20,NW Couch at 11th,8,9,45.52374151,-122.6818129
21,NW Glisan at 21st,0,10,45.52634601,-122.6941484
22,NW 21st at Johnson,3,9,45.52826831,-122.6945615
23,N Killingsworth at Albina,10,5,45.56282546,-122.6747467
24,NW Johnson at Jamison Square,1,12,45.5286366,-122.6820195
25,NW Station at Irving,11,0,45.5282777,-122.6766282
26,NW 23rd at Overton,13,1,45.53211645,-122.6986304
27,N Williams at Fremont,7,11,45.5475928,-122.6667604
28,Tilikum West at SW Moody,9,9,45.5027677,-122.6714408
29,NW Kearney at 23rd,6,12,45.52914205,-122.6987028
30,N Mississippi at Beech,0,18,45.54998583,-122.6756573
31,N Failing at Williams,1,11,45.55076344,-122.6668663
32,N Russell at Interstate,0,12,45.54107815,-122.6769716
33,SW 2nd at Pine,1,16,45.52142066,-122.6726291
34,SW Harvey Milk at Burnside,5,11,45.52279251,-122.6840124
35,SW River at Montgomery,24,1,45.50910258,-122.6735169
36,SW Market at Keller Fountain Park,5,7,45.5123205,-122.6789108
37,SE 37th at Division,3,0,45.50473239,-122.62528
38,NE 48th at Fremont,0,12,45.54830706,-122.6136768
39,SE 50th at Hawthorne,1,4,45.51189243,-122.6113057
40,NW Pettygrove at 15th,3,14,45.53290424,-122.68626
41,NE 30th at Glisan,0,2,45.52642975,-122.6347187
42,SE 49th at Division,0,3,45.50523618,-122.6121104
43,N Burrage at Killingsworth,2,1,45.56267617,-122.6946044
44,NE 22nd at Thompson (Irvington Tennis Club),1,10,45.53893649,-122.6432884
45,SE Belmont at 33rd,2,10,45.51649676,-122.6307517
46,SE 9th at Belmont,2,15,45.51633325,-122.6566324
47,N Mason at Williams,0,12,45.55335313,-122.6669146
48,SE Hawthorne at 20th,2,10,45.51222277,-122.6454261
49,NW Nicolai at Sherlock,2,0,45.54125782,-122.6966717
50,NE 28th at Glisan,0,3,45.52643433,-122.6362449
