,Station Name,Station Latitude,Station Longitude,Business Category,Business Name,Rating,Number of Reviews,Address,Contact
0,SE 47th at Hawthorne,45.51195046,-122.6141596,Mexican,Por Qué No? Taqueria,4.0,1365,4635 SE Hawthorne Blvd,(503) 954-3138
1,SE 47th at Hawthorne,45.51195046,-122.6141596,Pizza,Apizza Scholls,4.0,1753,4741 SE Hawthorne Blvd,(503) 233-1286
2,SE 47th at Hawthorne,45.51195046,-122.6141596,Lounges,Sapphire Hotel,4.5,492,5008 SE Hawthorne Blvd,(503) 232-6333
3,SE 47th at Hawthorne,45.51195046,-122.6141596,Noodles,Baka Umai,4.5,178,4703 SE Hawthorne Blvd,(971) 255-0116
4,SE 47th at Hawthorne,45.51195046,-122.6141596,Thai,Khao Thai,4.5,73,4604 SE Hawthorne Blvd,(971) 346-2422
5,SE 47th at Hawthorne,45.51195046,-122.6141596,Korean,Toji Korean Grill House,3.5,289,4615 SE Hawthorne Blvd,(503) 232-8998
6,SE 47th at Hawthorne,45.51195046,-122.6141596,Bars,Mighty Moe's Tanker,4.5,13,4825 SE Hawthorne Blvd,(971) 302-7249
7,SE 47th at Hawthorne,45.51195046,-122.6141596,Delis,East Side Delicatessen,4.0,408,4626 SE Hawthorne Blvd,(503) 236-7313
8,SE 47th at Hawthorne,45.51195046,-122.6141596,Lounges,Space Room Lounge,3.5,224,4800 SE Hawthorne Blvd,(503) 235-6957
9,SE 47th at Hawthorne,45.51195046,-122.6141596,Italian,3 Doors Down Cafe & Lounge,4.5,415,1429 SE 37th Ave,(503) 236-6886
10,SE 47th at Hawthorne,45.51195046,-122.6141596,Vegetarian,The Whole Bowl,4.5,285,4526 SE Hawthorne,(503) 753-7071
11,SE 47th at Hawthorne,45.51195046,-122.6141596,Greek,Kouzina,4.0,50,4612 SE Hawthorne Blvd,(503) 894-8389
12,SE 47th at Hawthorne,45.51195046,-122.6141596,Fast Food,Zach's Shack,3.5,279,4611 SE Hawthorne Blvd,(503) 233-4616
13,SE 47th at Hawthorne,45.51195046,-122.6141596,British,Horse Brass Pub,4.0,733,4534 SE Belmont St,(503) 232-2202
14,SE 47th at Hawthorne,45.51195046,-122.6141596,Coffee & Tea,Common Grounds Coffeehouse,4.0,171,4321 SE Hawthorne Blvd,(503) 341-9528
15,SE 47th at Hawthorne,45.51195046,-122.6141596,Arcades,QuarterWorld Arcade,4.0,150,4811 SE Hawthorne Blvd,(503) 548-2923
16,SE 47th at Hawthorne,45.51195046,-122.6141596,Whiskey Bars,The Cavern,4.5,46,4601 SE Hawthorne Blvd,(503) 889-0943
17,SE 47th at Hawthorne,45.51195046,-122.6141596,Burgers,Next Level Burger,4.0,412,4121 SE Hawthorne Blvd,(503) 486-4400
18,SE 47th at Hawthorne,45.51195046,-122.6141596,Indian,Dwaraka Indian Cuisine,4.0,564,3962 SE Hawthorne Blvd,(503) 230-1120
19,SE 47th at Hawthorne,45.51195046,-122.6141596,Breakfast & Brunch,The Waffle Window,4.5,1878,3610 SE Hawthorne Blvd,(971) 255-0501
20,NE 50th at Fremont,45.54827571,-122.6111636,Coffee & Tea,Pip's Original Doughnuts & Chai,4.5,3073,4759 NE Fremont St,(503) 206-8692
21,NE 50th at Fremont,45.54827571,-122.6111636,Hawaiian,Noho's Hawaiian Cafe,4.0,384,4627 NE Fremont St,(503) 445-6646
22,NE 50th at Fremont,45.54827571,-122.6111636,Bars,Hi-Top Tavern,4.5,61,5015 NE Fremont St,(503) 206-4308
23,NE 50th at Fremont,45.54827571,-122.6111636,Thai,Bang Bang,4.0,260,4727 NE Fremont,(503) 287-3846
24,NE 50th at Fremont,45.54827571,-122.6111636,Pizza,Red Sauce Pizza,4.5,277,4641 NE Fremont St,(503) 288-4899
25,NE 50th at Fremont,45.54827571,-122.6111636,Vegan,Dirty Lettuce,5.0,124,4727 NE Fremont St,(971) 888-4158
26,NE 50th at Fremont,45.54827571,-122.6111636,Pizza,Pizza Nostra,4.0,159,4831 NE Fremont St,(503) 281-9592
27,NE 50th at Fremont,45.54827571,-122.6111636,New American,Arrowood,4.5,108,5846 NE Sandy Blvd,(971) 373-8049
28,NE 50th at Fremont,45.54827571,-122.6111636,Seafood,Cabezon,4.0,534,5200 NE Sacramento St,(503) 284-6617
29,NE 50th at Fremont,45.54827571,-122.6111636,Himalayan/Nepalese,Nepali Kitchen,4.5,48,3434 NE 49th,(503) 477-6683
30,NE 50th at Fremont,45.54827571,-122.6111636,Beer Gardens,Cully Central,4.5,212,4579 NE Cully Blvd,(503) 206-8911
31,NE 50th at Fremont,45.54827571,-122.6111636,Italian,Amalfi's Restaurant & Mercato,3.5,425,4703 NE Fremont St,(503) 284-6747
32,NE 50th at Fremont,45.54827571,-122.6111636,Japanese,Du's Grill,4.5,483,5365 NE Sandy Blvd,(503) 284-1773
33,NE 50th at Fremont,45.54827571,-122.6111636,Sports Bars,Peter's Bar and Grill,4.5,153,5701 NE Fremont St,(503) 460-0544
34,NE 50th at Fremont,45.54827571,-122.6111636,Coffee & Tea,Jim & Patty's Coffee,4.0,269,4951 NE Fremont St,(503) 284-2121
35,NE 50th at Fremont,45.54827571,-122.6111636,Cocktail Bars,Wonderly,4.5,40,4727 NE Fremont St,(503) 288-4520
36,NE 50th at Fremont,45.54827571,-122.6111636,Sports Bars,Deeply Rooted,4.5,11,4765 NE Fremont St,(503) 719-7806
37,NE 50th at Fremont,45.54827571,-122.6111636,Chinese,Zien Hong,4.0,490,5314 NE Sandy Blvd,(503) 288-4743
38,NE 50th at Fremont,45.54827571,-122.6111636,Steakhouses,Clyde's Prime Rib Restaurant & Bar,3.5,616,5474 NE Sandy Blvd,(503) 281-9200
39,NE 50th at Fremont,45.54827571,-122.6111636,Barbeque,Fire On The Mountain,3.5,600,3443 NE 57th Ave,(503) 894-8973
40,NE Cully at Skidmore,45.553917,-122.6020709,Beer Gardens,Cully Central,4.5,212,4579 NE Cully Blvd,(503) 206-8911
41,NE Cully at Skidmore,45.553917,-122.6020709,Mexican,Pinches Burros,4.5,73,5745 NE Prescott St,(503) 477-5480
42,NE Cully at Skidmore,45.553917,-122.6020709,Food Trucks,Mgwalexs Hawaiian Grill,4.5,94,4549 NE Cully Blvd,(971) 331-4241
43,NE Cully at Skidmore,45.553917,-122.6020709,Coffee & Tea,Pip's Original Doughnuts & Chai,4.5,3073,4759 NE Fremont St,(503) 206-8692
44,NE Cully at Skidmore,45.553917,-122.6020709,Street Vendors,Khao Niew - Lao Street Food,4.5,100,4579 NE Cully Blvd,(503) 206-8911
45,NE Cully at Skidmore,45.553917,-122.6020709,Mexican,El Burrito Azteca,4.5,289,6728 NE Sandy Blvd,(503) 432-8073
46,NE Cully at Skidmore,45.553917,-122.6020709,Thai,Bang Bang,4.0,260,4727 NE Fremont,(503) 287-3846
47,NE Cully at Skidmore,45.553917,-122.6020709,Vietnamese,Mekha Restaurant,4.0,498,6846 NE Sandy Blvd,(503) 719-4584
48,NE Cully at Skidmore,45.553917,-122.6020709,Sports Bars,Peter's Bar and Grill,4.5,153,5701 NE Fremont St,(503) 460-0544
49,NE Cully at Skidmore,45.553917,-122.6020709,Coffee & Tea,Bison Coffee House,4.5,165,3941 NE Cully Blvd,(503) 288-3941
50,NE Cully at Skidmore,45.553917,-122.6020709,Pizza,Pizzeria Otto,4.0,380,6708 NE Sandy Blvd,(971) 373-8348
51,NE Cully at Skidmore,45.553917,-122.6020709,Barbeque,Fire On The Mountain,3.5,600,3443 NE 57th Ave,(503) 894-8973
52,NE Cully at Skidmore,45.553917,-122.6020709,Vegan,Dirty Lettuce,5.0,124,4727 NE Fremont St,(971) 888-4158
53,NE Cully at Skidmore,45.553917,-122.6020709,Empanadas,Angel Food & Fun,4.5,189,5135 NE 60th Ave,(503) 287-7909
54,NE Cully at Skidmore,45.553917,-122.6020709,Bars,Hi-Top Tavern,4.5,61,5015 NE Fremont St,(503) 206-4308
55,NE Cully at Skidmore,45.553917,-122.6020709,Soul Food,V's Soul Food Shack,4.5,10,4549 NE 60th Ave,(503) 405-4200
56,NE Cully at Skidmore,45.553917,-122.6020709,Vietnamese,Three Fifty Cafe,4.5,19,6205 NE Prescott St,(503) 206-4478
57,NE Cully at Skidmore,45.553917,-122.6020709,Coffee & Tea,Kainos Coffee,4.5,160,6633 NE Sandy Blvd,(503) 206-4478
58,NE Cully at Skidmore,45.553917,-122.6020709,Italian,Amalfi's Restaurant & Mercato,3.5,425,4703 NE Fremont St,(503) 284-6747
59,NE Cully at Skidmore,45.553917,-122.6020709,Himalayan/Nepalese,Nepali Kitchen,4.5,48,3434 NE 49th,(503) 477-6683
60,SE Belmont at 45th,45.51658489,-122.6160378,British,Horse Brass Pub,4.0,733,4534 SE Belmont St,(503) 232-2202
61,SE Belmont at 45th,45.51658489,-122.6160378,Japanese,Musashi's Pdx,4.5,107,4246 SE Belmont St,(503) 805-0958
62,SE Belmont at 45th,45.51658489,-122.6160378,Breakfast & Brunch,Slappy Cakes,3.5,896,4246 SE Belmont St,(503) 477-4805
63,SE Belmont at 45th,45.51658489,-122.6160378,Scandinavian,Viking Soul Food,4.5,265,4255 SE Belmont St,(971) 506-5579
64,SE Belmont at 45th,45.51658489,-122.6160378,Mexican,Por Qué No? Taqueria,4.0,1365,4635 SE Hawthorne Blvd,(503) 954-3138
65,SE Belmont at 45th,45.51658489,-122.6160378,Italian,3 Doors Down Cafe & Lounge,4.5,415,1429 SE 37th Ave,(503) 236-6886
66,SE Belmont at 45th,45.51658489,-122.6160378,Cheesesteaks,Buddy’s Steaks,4.5,56,4255 SE Belmont St,(215) 694-8095
67,SE Belmont at 45th,45.51658489,-122.6160378,Pizza,Apizza Scholls,4.0,1753,4741 SE Hawthorne Blvd,(503) 233-1286
68,SE Belmont at 45th,45.51658489,-122.6160378,Lounges,Sapphire Hotel,4.5,492,5008 SE Hawthorne Blvd,(503) 232-6333
69,SE Belmont at 45th,45.51658489,-122.6160378,Burgers,Monster Smash Burgers,4.5,65,4500 SE Stark St,(503) 995-4898
70,SE Belmont at 45th,45.51658489,-122.6160378,Thai,Sivalai Thai Restaurant,4.5,968,4806 SE Stark St,(503) 230-2875
71,SE Belmont at 45th,45.51658489,-122.6160378,Noodles,Baka Umai,4.5,178,4703 SE Hawthorne Blvd,(971) 255-0116
72,SE Belmont at 45th,45.51658489,-122.6160378,Food Trucks,Brazilian House,4.5,98,4255 SE Belmont St,(503) 660-7556
73,SE Belmont at 45th,45.51658489,-122.6160378,Indonesian,Wajan,4.5,265,4611 E Burnside St,(503) 206-5916
74,SE Belmont at 45th,45.51658489,-122.6160378,Sandwiches,Night Owl PNW,5.0,12,4255 SE Belmont St,(971) 279-6952
75,SE Belmont at 45th,45.51658489,-122.6160378,Vegan,Norah,4.5,69,3801 SE Belmont St,(971) 279-6952
76,SE Belmont at 45th,45.51658489,-122.6160378,Breakfast & Brunch,The Waffle Window,4.5,1878,3610 SE Hawthorne Blvd,(971) 255-0501
77,SE Belmont at 45th,45.51658489,-122.6160378,New American,Tabor Tavern,4.0,639,5325 E Burnside St,(503) 208-3544
78,SE Belmont at 45th,45.51658489,-122.6160378,Beer Gardens,Belmont Station,4.0,302,4500 SE Stark St,(503) 232-8538
79,SE Belmont at 45th,45.51658489,-122.6160378,Indian,Dwaraka Indian Cuisine,4.0,564,3962 SE Hawthorne Blvd,(503) 230-1120
